id,name,species_id,variety_name_type,created_at
1269,OKITSU,13,mandarins_variety,2025-08-13 17:14:23
1270,CLEMENTINES,21,clementine_variety,2025-08-13 17:14:23
1271,OCTUBRINA,21,clementine_variety,2025-08-13 17:14:23
1272,CRIMSON RED,17,plums_variety,2025-08-13 17:14:23
1273,ITUM 6,18,grape_variety,2025-08-13 17:14:23
1274,SUPLUMTHIRTYSIX-APPLUM,17,plums_variety,2025-08-13 17:14:23
1275,RED DELIGHT,2,apples_variety,2025-08-13 17:14:23
1276,MOSCATEL BLACK,18,grape_variety,2025-08-13 17:14:23
1277,BLUSH SEEDLESS,18,grape_variety,2025-08-13 17:14:23
1278,ESMERALD SEEDLESS,18,grape_variety,2025-08-13 17:14:23
1279,CHIMENTI GLOBE,18,grape_variety,2025-08-13 17:14:23
1280,IFG TWENTY ONE,18,grape_variety,2025-08-13 17:14:23
1281,CI 535,17,plums_variety,2025-08-13 17:14:23
1282,FILOE,28,peaches_variety,2025-08-13 17:14:23
1283,CANDY PIXIE,17,plums_variety,2025-08-13 17:14:23
1284,EARLI QUEEN,27,nectarines_variety,2025-08-13 17:14:23
1285,GRANDE,6,blueberries_variety,2025-08-13 17:14:23
1286,BLACK GLORY,17,plums_variety,2025-08-13 17:14:23
